I'm in good health.	Olen terve.
There's only one day left.	On vain yksi päivä jäljellä.
My watch is five minutes fast.	Kelloni on viisi minuuttia edellä.
I could make you happy.	Voisin tehdä sinut onnelliseksi.
I have mixed feelings about this.	Minulla on ristiriitaisia tunteita tätä kohtaan.
Are you happy with your new job?	Oletko tyytyväinen uuteen työhösi?
I hate milk.	Inhoan maitoa.
There's something I'd like you to take a look at.	Minulla olisi yksi juttu, jota haluaisin sinun vilkaisevan.
You were right all along.	Olit oikeassa koko ajan.
China is much bigger than Japan.	Kiina on paljon suurempi kuin Japani.
Check it again.	Tarkista se uudelleen.
I had lunch with Tom yesterday.	Olin lounaalla Tomin kanssa eilen.
Mary's so nice that you can't help but like her.	Mari on niin kiva, ettei hänestä voi olla pitämättä.
Tom had his picture taken.	Tom otatti itsestään kuvan.
They look confused.	He näyttivät hämmentyneiltä.
Tom isn't like the other boys.	Tom ei ole niin kuin muut pojat.
I'm never going to leave you again.	En jätä sinua uudestaan enää koskaan.
Mary hid the money in her bra.	Mari piilotti rahat rintaliiveihinsä.
Tom forgave me.	Tomi antoi minulle anteeksi.
I'm yours.	Olen sinun.
In the end, we ended up eating at that shabby restaurant.	Loppujen lopuksi päädyimme syömään siihen nuhjuiseen ravintolaan.
I used to think it didn't really matter what I fed my dog.	Ennen luulin, että sillä ei ole juurikaan väliä, mitä minä syötän koiralleni.
Tom said he was sick, but that was a lie.	Tomi sanoi olevansa kipeä, mutta se oli valhe.
Why did you think that?	Miksi olit sitä mieltä?
Dust got into one of my eyes.	Sain pölyä silmääni.
This product comes with a five-year warranty.	Tässä tuotteessa on viiden vuoden takuu.
A typhoon is approaching Japan.	Taifuuni lähestyy Japania.
Who could've foreseen this happening?	Kuka olisi arvannut, että tämä tapahtuisi?
Your request is denied.	Pyyntösi on evätty.
Tom tried to read Mary's name tag.	Tom yritti lukea Maryn nimilapun.
Could you look at me, Tom?	Voisitko katsoa minuun, Tom?
I am a tennis player.	Olen tenniksen pelaaja.
Tom doesn't express himself well.	Tomi ei ilmaise itseään hyvin.
I want you to meet Tom.	Haluan sinun tapaavan Tomin.
Tom doesn't care what other people think.	Tomia ei kiinnosta mitä muuta ihmiset ajattelevat.
Tom didn't tell anyone what his plans were.	Tom ei kertonut kenellekään mitkä hänen suunnitelmansa olivat.
Tom thought he'd broken a bone in his foot, but an X-ray showed that he hadn't.	Tom luuli, että häneltä oli murtunut luu jalasta, mutta röntgenkuvasta näkyi, ettei se ollut murtunut.
Eating habits in China have been rapidly becoming Americanized in recent years.	Kiinalaisten syömätottumukset ovat amerikkalaistuneet nopeasti viime vuosina.
Tom has lost his interest in studying French.	Tom on menettänyt kiinnostuksensa ranskan opiskeluun.
You had a long day.	Sinulla oli pitkä päivä.
My friend likes to live in the city, but his wife prefers to live in their little cottage in the country.	Ystäväni pitää kaupunkiasumisesta, mutta hänen vaimonsa asettaa etusijalle maalla pienessä mökissä asumisen.
Don't lie to Tom.	Älä valehtele Tomille.
I'll get my son to wash my car somehow or other.	Saan poikani pesemään autoni tavalla tai toisella.
Tom tried to keep Mary warm.	Tomi yritti pitää Maria lämpimänä.
I'm studying French at home.	Opiskelen ranskaa kotona.
Tom was killed in a car accident.	Tom sai surmansa auto-onnettomuudessa.
Tom was scared of something.	Jokin pelotti Tomia.
Tom lacks confidence in himself.	Tomilla ei ole itseluottamusta.
I shouldn't have trusted in someone like Tom.	Minun ei olisi pitänyt luottaa keneenkään Tomin kaltaiseen.
Are you blushing?	Punastutko sinä?
It was a great night.	Se oli suuri ilta.
She was a charming woman.	Hän oli hurmaava nainen.
I'm sorry for this.	Olen pahoillani tästä.
Tom often borrowed money from his friends.	Tom lainasi usein rahaa ystäviltään.
Is that your wife?	Onko se vaimosi?
Do you have some time?	Olisiko sinulla hetki aikaa?
Come outside.	Tule ulos.
Tom sat on the porch having a coffee and a cigarette and watched the world go by.	Tom istui kuistilla juoden kahvia ja poltellen tupakkaa ja katseli maailman menoa.
Not only were we hungry, but we were also suffering from thirst.	Me emme olleet vain nälkäisiä, mutta myös janoisia.
It's perfectly white.	Se on puhtaan valkoinen.
I hurt my knee.	Minä satutin polveni.
Staying at home is boring.	Kotona oleminen on tylsää.
"How was the test?" "It wasn't as difficult as I thought it would be."	"Miten koe meni?" "Se ei ollutkaan niin vaikea kuin kuvittelin."
Tom is very interested in French.	Tom on todella kiinnostunut ranskasta.
The doctor continued to observe the patient's behavior.	Lääkäri jatkoi potilaan käyttäytymisen tarkkailua.
They like apples.	He tykkäävät omenoista.
Buffalo bones were made into tools.	Biisoninluusta tehtiin työkaluja.
There's no need for you to be at today's meeting.	Sinua ei tarvita päivän kokouksessa.
My brother is good at playing tennis.	Veljeni on hyvä tenniksessä.
He picked flowers for her.	Hän poimi kukkia hänelle.
I can speak French a little.	Osaan puhua ranskaa vähän.
It's not the same.	Ei se ole sama asia.
These factories are polluting the environment.	Nämä tehtaat saastuttavat ympäristöä.
Perfect!	Täydellistä!
Save your appetite for the big dinner.	Säästä ruokahaluasi isolle aterialle.
If I remember correctly, you were quite optimistic at that time.	Jos muistan oikein, niin sinä olit melkoisen optimistinen siihen aikaan.
My father does not always walk to work.	Isäni ei aina kävele työhön.
I'm worried about them.	Ole huolissani heistä.
Let's put an end to this discussion.	Lopetetaan tämä keskustelu.
What time does Flight 123 from Tokyo arrive?	Mihin aikaan Lento 123 Tokiosta saapuu?
Where's the toilet?	Missä on vessa?
I abhor spiders.	Inhoan hämähäkkejä.
I'm sure she will return soon.	Olen varma että hän palaa pian.
My mother is a teacher, too.	Myös äitini on opettaja.
Don't you like swimming?	Etkö pidä uimisesta?
Do you also like doing crossword puzzles?	Tykkäätkö sinäkin ristasanatehtävien ratkomisesta?
Tom waited for Mary to call.	Tom odotti Marin soittoa.
Were you tired?	Olitko väsynyt?
None of us are perfect.	Kukaan meistä ei ole täydellinen.
Tom is quite knowledgeable about modern popular music.	Tom on aika hyvin perillä modernista populaarimusiikista.
The road is wet and it's slippery.	Tie on märkä ja se on liukas.
Tom showed Mary his new tattoo.	Tom näytti Marille hänen uuden tatuoinninsa.
How many people are currently working for you?	Kuinka monta ihmistä työskentelee nykyään sinulle?
I'm addicted.	Olen koukussa.
Tom said you could speak French.	Tom sanoi, että osaisit puhua ranskaa.
Tom was deliriously happy.	Tom oli haltioituneen onnellinen.
Would you explain that graph to me?	Selittäisitkö sen kuvaajan minulle?
They are as strong as us.	He ovat yhtä vahvoja kuin me.
The problem is that Tom has no alibi for the night of the murder.	Ongelma on siinä, että Tomilla ei ole alibia murhayölle.
Tom has a part-time job.	Tomilla on osa-aikatyö.
I'm a man now.	Olen nyt mies.
There's just one problem.	Tässä on vain yksi ongelma.
You are old enough to know better. Behave yourself.	Olet tarpeeksi vanha tietämään paremmin. Käyttäydy kunnolla.
I never spend a day without thinking of you.	En vietä päivääkään ajattelematta sinua.
Drink some tea.	Juo teetä.
It had to be you.	Sen oli oltava sinä.
What an idiot!	Mikä idiootti!
Is that what they teach you in school?	Noinko se koulussa opetetaan?
Make a circle and hold hands.	Muodostakaa piiri ja ottakaa toisianne käsistä.
How did you like that movie?	Mitä pidit siitä elokuvasta?
What took you so long?	Mikä sinulla oikein kesti?
Which food do you think tastes best?	Mikä ruoka maistuu mielestäsi parhaalta?
It's not like I haven't tried.	Ei se ole niin, etten olisi yrittänyt.
Smoking can kill.	Tupakointi on hengenvaarallista.
Tom told me he wanted to meet Mary.	Tomi sanoi minulle, että hän haluaa tavata Marin.
You remind me of somebody.	Sinusta tulee minulle mieleen joku.
My laptop has been stolen.	Läppärini on varastettu.
Tom is a good French speaker.	Tom on hyvä ranskan puhuja.
I hope we'll be seeing you around here soon.	Toivottavasti näemme sinut taas pian täällä päin.
I have a headache.	Päätäni särkee.
Tom appears to have achieved what he set out to do.	Tom näyttäisi saavuttaneen sen mitä hän lähti hakemaankin.
Tom was taller than I expected.	Tom oli pidempi kuin oletin.
Don't worry. I won't tell Tom.	Älä huoli. En kerro Tomille.
Do you happen to have any photographs of Tom?	Sattuuko sinulla olemaan yhtään valokuvaa Tomista?
His hands feel rough.	Hänen kätensä tuntuvat karkeilta.
His family works in the fields.	Hänen perheensä työskentelee pelloilla.
Tom's mother told an extraordinary story of an out-of-body experience she had during her recent brush with death.	Tomin äiti kertoi erikoislaatuisen kertomuksen ruumiista irtautumiskokemuksesta, jonka hän koki taannoisella käynnillään kuoleman rajamailla.
Yesterday was my birthday.	Eilen oli syntymäpäiväni.
Beat it.	Häivy!
Tom seldom asks questions.	Tomi kysyy harvoin.
You got dumped, didn't you?	Sinun jätettiin, vai mitä?
A lot of people are coming out of the movie theater.	Elokuvateatterista tulee ulos paljon ihmisiä.
That child wants a friend to play with.	Tuo lapsi haluaa leikkikaverin.
You'd better get some rest.	Sinun on parasta mennä lepäämään.
I intend to eat the apple.	Aion syödä omenan.
Lost time is irretrievable.	Menetetty aika on menetetty peruuttamattomasti.
What is the tallest mountain in Europe?	Mikä on Euroopan korkein vuori?
I only speak a little French.	Puhun vain vähän ranskaa.
Tom has an eye infection.	Tomilla on silmätulehdus.
Tom counted his money.	Tomi laski rahansa.
Long, long ago, there lived an old man and his wife.	Kauan, kauan sitten eli vanha mies ja hänen vaimonsa.
Is it important?	Onko asia tärkeä?
I'm not crazy.	Minä en ole hullu.
English is spoken in many countries around the world.	Englantia puhutaan monissa maissa ympäri maailmaa.
Are you still in love with her?	Oletko yhä häneen rakastunut?
I didn't know it existed.	En tiennyt, että se on olemassa.
Disease is a threat to human beings.	Sairaus on uhka ihmisolennoille.
Tom is my bodyguard.	Tom on henkivartijani.
I slipped the letter to him.	Livautin kirjeen hänelle salaa.
You shouldn't forget that.	Sinun ei pitäisi unohtaa sitä.
We will talk about this later.	Puhumme tästä myöhemmin.
I live in the house.	Asun talossa.
He began to work for that company last year.	Hän aloitti työt siinä yrityksessä viime vuonna.
What did you learn today?	Mitä sinä opit tänään?
I love Australia.	Rakastan Australiaa.
Find out what the problem is.	Ota selvää mikä on ongelma.
Tom had no qualms at all about speaking in front of such a large audience.	Tomilla ei ollut mitään epäilyksiä niin ison yleisön edessä puhumisesta.
Don't be late for school tomorrow.	Älä myöhästy koulusta huomenna.
I'll call you up later.	Soitan sinulle myöhemmin.
That motor doesn't have enough power.	Tässä moottorissa on liian vähän tehoa.
I thought the death penalty should be abolished.	Ajattelin että kuolemanrangaistus pitäisi poistaa.
She's depressed.	Hän on masentunut.
Tom didn't know what to say, so he said nothing.	Tomi ei tiennyt mitä sanoa, joten hän ei sanonut mitään.
They were members of the middle class.	He kuuluivat keskiluokkaan.
It looks like you've had a hard day.	Näyttää siltä, että sinulla on ollut rankka päivä.
I'm not surprised you didn't go there with Tom.	En ole yllättynyt siitä, että et mennyt sinne Tomin kanssa.
Don't go in that room.	Älä mene tuohon huoneeseen.
Tom handed Mary an energy drink.	Tom ojensi Marylle energiajuoman.
Tom is washing his car.	Tom pesee autoaan.
Tom was sunbathing on the dock.	Tom otti aurinkoa laiturilla.
And why isn't this an interesting topic?	Ja miksi tämä ei ole mielenkiintoinen aihe?
Tom knows how to speak French.	Tom tietää miten ranskaa puhutaan.
Tom dried his face with a towel.	Tomi kuivasi kasvonsa pyyhkeellä.
This car has an alarm.	Tässä autossa on varashälytin.
She got married at the age of 17.	Hän meni naimisiin seitsemäntoista vuoden ikäisenä.
I'm learning Chinese on my own.	Opiskelen kiinaa itsekseni.
There are many old temples in Kyoto.	Kiotossa on paljon vanhoja pyhäkköjä.
I've made more than one stupid mistake in my life.	Olen tehnyt elämässäni useampia typeriä virheitä kuin yhden.
I wasn't expecting to hear from you.	En odottanut kuulevani sinusta.
Tom wasn't a bit hungry.	Tomilla ei ollut yhtään nälkä.
Why is he hiding?	Miksi hän piileskelee?
We're at home.	Me olemme kotona.
You needn't have taken an umbrella with you.	Sinun ei olisi tarvinnut ottaa sateenvarjoa mukaasi.
He works in the laboratory.	Hän työskentelee laboratoriossa.
Don't look a gift horse in the mouth.	Älä katso lahjahevosen suuhun.
Now this is really creepy.	Että on karmivaa.
People who live in glass houses shouldn't throw stones.	Pata kattilaa soimaa.
I have a debt to pay.	Minulla on velka maksettavana.
I'm confident I can do that.	Olen varma, että pystyn siihen.
Tom didn't want it.	Tom ei halunnut sitä.
He didn't tell me everything.	Hän ei kertonut minulle kaikkea.
Tom is kind of shy.	Tom on jotenkin ujo.
Tom works at a computer company in Boston.	Tom on töissä tietokonefirmassa Bostonissa.
What do you think of this red hat?	Mitä tykkäät tästä punaisesta hatusta?
I should've stayed.	Minun olisi pitänyt jäädä.
Tom saw it, too.	Myös Tom näki sen.
I need it immediately.	Tarvitsen sen välittömästi.
I found my father's diary that he kept for 30 years.	Löysin isäni päiväkirjan, jota hän piti kolmenkymmenen vuoden ajan.
The three richest people in the world control more wealth than the poorest 48 nations.	Maailman kolme rikkainta ihmistä hallitsevat suurempaa varallisuutta kuin 48 köyhintä valtiota.
I'm studying French and web design.	Opiskelen ranskaa ja web-suunnittelua.
Something very strange is going on.	Jotain hyvin outoa on menossa.
It was some time before he realized his mistake.	Vasta jonkin verran aikaisemmin hän tajusi virheensä.
Prepare yourself.	Valmistaudu.
The building is surrounded by a barbed wire fence.	Rakennusta ympäröi piikkilanka-aita.
I am from Norway.	Olen kotoisin Norjasta.
Let's hope everything goes well.	Toivotaan, että kaikki menee hyvin.
Why did you let me sleep so late?	Miksi annoit minun nukkua niin myöhään?
Tom had no options left.	Tomilla ei ollut vaihtoehtoja jäljellä.
Everybody likes you.	Kaikki pitävät sinusta.
Let me handle this.	Anna kun minä hoidan tämän.
What time do you start check-in?	Monelta lähtöselvitys alkaa?
That's not difficult to do.	Sen tekeminen ei ole vaikeaa.
They're very capable.	He ovat erittäin kyvykkäitä.
I'm not going to argue with Tom.	En aio riidellä Tomin kanssa.
A mugger robbed him of all of his money.	Varas ryösti häneltä kaikki hänen rahansa.
There is a bookstore in front of the department store.	Sen tavaratalon edessä on kirjakauppa.
We apologize for the inconvenience.	Pahoittelemme häiriötä.
Spring is just around the corner.	Kevät on aivan nurkan takana.
She said that he was handsome.	Hän sanoi, että hän on komea.
Tom quit smoking.	Tom lopetti tupakanpolton.
Everybody laughed.	Kaikki nauroivat.
It has been almost 50 years since World War II ended.	Toisen maailmansodan päättymisestä on melkein viisikymmentä (50) vuotta.
I wish I could paint like that.	Kunpa osaisin maalata noin hyvin.
I wish I could have spoken French.	Voi kunpa olisin puhunut ranskaa.
Open fire!	Avatkaa tuli!
I have two foreign friends.	Minulla on kaksi ulkomaalaista ystävää.
This is not good.	Tämä ei ole hyvä.
Give me her picture!	Anna minulle hänen kuvansa.
Repeating a lie does not make it true.	Valheen toistaminen ei tee siitä totta.
I told you to watch Tom carefully.	Käskin sinun vahtia Tomia tarkkaan.
I'm such a chicken.	Olen pelkuri.
What a smart guy!	Siinäpä vasta fiksu tyyppi!
A little thought will tell you that the whole plan is out of the question.	Jos mietit hieman, niin huomaat, että koko suunnitelma ei tule kysymykseenkään.
Tom isn't afraid of snakes.	Tomi ei pelkää käärmeitä.
I work here.	Olen töissä täällä.
Tom hated it.	Tom vihasi sitä.
I can play the guitar.	Osaan soittaa kitaraa.
Tom saw something unusual.	Tom näki jotain epätavallista.
Tom could hurt me.	Tom saattaisi satuttaa minua.
Tom was in Boston when the war began.	Tom oli Bostonissa kun sota alkoi.
It took me a couple of hours to solve this problem.	Minulla kesti muutama tunti ratkaista tämä ongelma.
I like her. She's so beautiful!	Pidän hänestä. Hän on niin kaunis!
Are you certain?	Oletko varma?
A driver was sleeping in the car.	Kuljettaja nukkui autossa.
I don't dare talk to her.	En uskalla puhua hänelle.
"Is your father busy?" "No, I don't think he is."	”Onko isälläsi kiireitä?” ”En usko että on.”
She has never lived in India.	Hän ei ole koskaan asunut Intiassa.
We've ordered a pizza.	Me olemme tilanneet pizzaa.
It's a miracle that you were able to survive.	On ihme että pystyin jäämään eloon.
I love you, Tom.	Minä rakastan sinua, Tom.
Tom wasn't popular.	Tomi ei ollut suosittu.
I took Tom to the hospital.	Minä vein Tomin sairaalaan.
I don't think there's anyone who hates Tom.	En usko, että on ketään sellaista, joka vihaa Tomia.
I am busy.	Minulla on kiire.
This is not my day.	Tämä ei ole minun päiväni.
Keep moving.	Pysy liikkeellä.
Tom has a job.	Tomilla on työpaikka.
My disagreement with Tom is no secret.	Minun erimielisyyteni Tomin kanssa ei ole mikään salaisuus.
He heard a very small voice.	Hän kuuli hyvin pienen äänen.
Tom spent fifteen minutes trying to pry open the drawer with a crowbar, but he couldn't get it opened.	Tom käytti viisitoista minuuttia yrittäen kangeta pöytälaatikkoa auki sorkkaraudalla, mutta hän ei saanut sitä auki.
Will you show me how to use this camera?	Näytätkö minulle miten käyttää tätä kameraa.
Then what's the problem?	No mikä tässä on sitten ongelma?
I haven't been this optimistic ever before.	En ole ollut näin optimistinen koskaan aikaisemmin.
You really should buy a new car.	Sinun pitäisi oikeasti ostaa uusi auto.
I hear Tom has been quite busy.	Kuulin, että Tomilla on pitänyt melkoista kiirettä.
Tom is a bit shorter than Mary.	Tomi on vähän lyhyempi kuin Mari.
Where did you find her picture?	Mistä löysit hänen kuvansa?
They went hand in hand.	He menivät pidellen toisiaan käsistä kiinni.
I have a terrible toothache.	Minulla on hirvittävä hammassärky.
Tom and Mary struggled to make ends meet.	Tom ja Mari ponnistelivat saadakseen rahat riittämään.
Don't touch anything here.	Älä koske mihinkään täällä.
What subject do you think he is interested in?	Mistä aiheesta luulet hänen olevan kiinnostunut?
I have a friend whose father is a famous actor.	Minulla on ystävä, jonka isä on kuuluisa näyttelijä.
Japan's trade surplus soared to a record high.	Japanin kauppataseen ylijäämä ampaisi ennätyskorkeisiin lukemiin.
You sound like my mother.	Sinä kuulostat äidiltäni.
People might think you're stupid if you do that.	Muut saattavat pitää sinua typeränä, jos teet noin.
I'm 18 years old.	Olen kahdeksantoista vuotta vanha.
I think that someone spiked Mary's drink.	Luulen, että joku laittoi salaa jotakin Marin juomaan.
I must run.	Minun pitää juosta.
Is this diamond real?	Onko tämä aito timantti?
It happened on Halloween night.	Se tapahtui pyhäinpäivän aattoyönä.
Tom only washes his hair once a week.	Tomi pesee tukkansa vain kerran viikossa.
Tom has a high-pitched voice.	Tomilla on korkea ääni.
Tom wasn't at home yesterday.	Tom ei ollut kotona eilen.
Did you watch the news?	Katsoitko uutiset?
It isn't hard to do.	Sen tekeminen ei ole vaikeaa.
Just stay calm.	Pysy ihan vaan rauhallisena.
A person like Tom has probably never kissed anyone other than his mother.	Sellainen henkilö kuin Tom ei ole varmaankaan suudellut ketään muuta kuin omaa äitiään.
It's foggy today.	Tänään on sumuista.
We don't like Tom.	Me emme pidä Tomista.
Tom needs Mary's help.	Tom tarvitsee Maryn apua.
Tom gave Mary John's message.	Tom antoi Marille Jonin viestin.
How can I stop Tom?	Miten minä voin pysäyttää Tomin?
Did I wake you?	Herätinkö sinut?
I've become smarter.	Minusta on tullut älykkäämpi.
You're just jealous.	Olet vain kateellinen.
Tom was living well beyond his means.	Tom eli täysin yli varojensa.
Tom has three sons.	Tomilla on kolme poikaa.
I was too afraid.	Olin liian peloissani.
I'm going to win this.	Tulen voittamaan tämän.
He is in charge of our class.	Hän on vastuussa luokastamme.
You can cry if you want.	Voit itkeä, jos haluat.
There was a fight.	Syntyi tappelu.
I'd like to hear from Tom.	Haluaisin kuulla Tomista.
The politician proposed reforms to Congress.	Poliitikko ehdotti uudistuksia kongressille.
I'm not letting Tom near my kids.	En päästä Tomia lasteni lähelle.
Tom is handling the situation very well.	Tom hoitaa tilannetta todella hyvin.
Lindbergh's solo nonstop transatlantic flight was a remarkable accomplishment.	Lindberghin välilaskuton yksinlento Atlantin yli oli huomattava saavutus.
It's secret.	Se on salaisuus.
I know this isn't what you wanted.	Tiedän että tämä ei ollut sitä, mitä halusit.
Thanks for telling me the truth.	Kiitos että kerroit totuuden.
I need help translating this document into French.	Tarvitsen apua tämän dokumentin kääntämisessä ranskaksi.
A friend of mine is looking for someone who speaks French.	Eräs ystäväni etsii jotakuta, joka puhuu ranskaa.
Tom has decided to move to Boston.	Tomi on päättänyt muuttaa Bostoniin.
The recent shortage of coffee has given rise to a lot of problems.	Viimeaikainen kahvipula on aiheuttanut paljon ongelmia.
Tom didn't know where to burn the trash.	Tom ei tiennyt, missä hän voisi polttaa roskat.
I have three questions for you.	Minulla on kolme kysymystä sinulle.
It would be better for both of us not to see each other anymore.	Olisi parempi meille molemmille ettemme näe enää toisiamme.
He has little money with him.	Hänellä on mukanaan vain vähän rahaa.
He stopped dead in his tracks.	Hän pysähtyi yllättäen paikoilleen.
I didn't know this kind of a thing existed.	En tiennyt, että tällainen asia on olemassa.
We got something from Tom.	Saimme jotakin Tomilta.
It was a lot of fun.	Se oli todella hauskaa.
Am I imagining this?	Kuvittelenko minä tämän?
I've heard of it.	Olen kuullut siitä.
We've been friends for a long time.	Olemme olleet ystäviä pitkän aikaa.
Hey, who wants pizza?	Hei, kuka haluaa pizzaa?
The moon is bright.	Kuu on kirkas.
I couldn't agree with his opinion.	En voinut olla samaa mieltä hänen kanssaan.
We sang in a choir when we were kids.	Lauloimme kuorossa, kun olimme lapsia.
A guide conducted the visitors round the museum.	Opas johdatti vierailijoita ympäri museon.
How deep is this well?	Kuinka syvä kaivo on?
He's a man we can trust.	Hän on mies johon voimme luottaa.
A cup of coffee refreshed me.	Kuppi kahvia piristi minua.
I almost died.	Melkein kuolin.
I love French.	Ranska on minusta ihanaa.
Tom wears the same costume every Halloween.	Tom käyttää samaa asua joka halloweenina.
Her wish is to become a good teacher.	Hänen haaveensa on tulla hyväksi opettajaksi.
Can somebody open up a window, please?	Voisiko joku avata ikkunan?
Tom couldn't get Mary to stop smoking.	Tom ei voinut saada Marya lopettamaan tupakoimista.
What part of "no" don't you understand?	Mitä kohtaa sinä et ymmärrä sanasta ”ei”?
When Tom looked down at the apple he was eating, he realized that he had eaten half a worm.	Kun Tom katsoi omenaa, jota oli syömässä, hän huomasi että oli syönyt puolen matoa.
A man's worth lies not in what he has but in what he is.	Ihmisen arvo ei ole siinä, mitä hän omistaa, vaan siinä mitä hän on.
After experiencing several acute psychotic episodes, Mary was admitted to a mental institution.	Sen jälkeen kun Mari oli kokenut useita akuutteja psykoottisia sairausjaksoja, hänet luovutettiin psykiatriseen sairaalaan.
What do you want to be when you grow up?	Mikä haluat olla isona?
I want it.	Haluan sen.
When was the last time you had a boyfriend?	Milloin viimeksi sinulla oli poikaystävä?
Eat what you want.	Syö mitä tahdot.
I decided to go swimming.	Päätin mennä uimaan.
Tom won't make it.	Tom ei tule onnistumaan.
Your future is full of possibilities.	Tulevaisuutesi on täynnä mahdollisuuksia.
I know the answer.	Tiedän vastauksen.
Tom gave Mary a piece of chocolate.	Tomi antoi Marille palan suklaata.
I have a friend in England.	Minulla on ystävä Englannissa.
I don't have a computer.	Minulla ei ole tietokonetta.
Tom went out to the street.	Tom meni ulos kadulle.
Tell me the rest.	Kerro minulle loput.
Are you vegetarian?	Oletko kasvissyöjä?
There's no rhyme or reason to life and death. Many people who do all the right things die early anyway, while others live to an old age.	Elämässä ja kuolemassa ei ole järkeä tahi syytä. Toiset tekevät kaiken oikein, ja silti kuolevat nuorina, samalla kuin toiset elävät vanhaksi.
It was more difficult than I'd expected.	Se oli vaikeampaa kuin olin odottanut.
Tom sold the bracelet.	Tomi myi rannekorun.
Tom became a surgeon.	Tomista tuli kirurgi.
My husband was probably drunk when he signed this.	Siippani lienee ollut kännissä allekirjoittaessaan tämän.
Tom didn't tell me how beautiful you were.	Tom ei kertonut minulle miten kaunis sinä olet.
Tom slept much longer than he had planned to.	Tomi nukkui paljon pidempään, mitä oli suunnitellut.
You dropped your pencil.	Pudotit kynäsi.
Tom looks like an old man.	Tomi näyttää vanhalta mieheltä.
I have a poor appetite.	Minulla on huono ruokahalu.
Where is my watch?	Missä kelloni on?
He's much taller than you.	Hän on paljon pitempi kuin sinä.
The boy stayed quiet.	Poika pysyi hiljaa.
I work in a flower shop.	Olen töissä kukkakaupassa.
Tom dropped a cup on the floor and it shattered into a thousand pieces.	Tom pudotti kupin lattialle, ja se särkyi tuhansiksi palasiksi.
Can you really do it?	Pystytkö sinä siihen oikeasti?
We're enthusiastic.	Olemme innokkaita.
Tom pretended to be busy.	Tom teeskenteli kiireistä.
You can speak French, can't you?	Sinä osaat puhua ranskaa, etkö osaakin?
He broke his word.	Hän söi sanansa.
Tom and Mary sat at opposite ends of the couch.	Tom ja Mari istuivat sohvan vastakkaisissa päissä.
I didn't want to make a big deal out of it.	En halunnut nostaa siitä mitään suurempaa äläkkää.
Reading is one of life's great pleasures.	Lukeminen on yksi elämän suuria mielihyviä.
Let's wait an hour.	Odotetaan tunti.
A stone does not float.	Kivi ei kellu.
My father died of lung cancer.	Minun isäni kuoli keuhkosyöpään.
I just wanted Tom to calm down.	Halusin vain Tomin rauhottuvan.
I washed myself and felt much better.	Oloni parani, kun peseydyin.
Tom went to Boston by plane.	Tom meni Bostoniin lentokoneella.
Don't you want a little excitement?	Haluatko vähän hupia?
I didn't tell anyone what you did.	En kertonut kenellekään mitä sinä teit.
It was no accident.	Se ei ollut mikään onnettomuus.
I can't wait to eat the cake.	En malta odottaa sitä, että pääsen syömään kakkua.
Do you like any of those?	Pidätkö sinä mistään noista?
Tom described Mary.	Tom kuvaili Maryä.
I hate that color.	Inhoan tuota väriä.
Everyone went crazy.	Kaikki sekosivat.
My French isn't very good.	Ranskani ei ole kovin hyvää.
I just haven't been able to reach Tom.	En vain ole pystynyt saamaan Tomia kiinni.
Please give me a coffee.	Saisinko kupin kahvia, kiitos.
Where do you live now?	Missä sinä asut nyt?
I want to sleep in my own bed tonight.	Haluan nukkua omassa sängyssäni tänä yönä.
I need to get my nails done.	Minun täytyy laitattaa kynteni.
I've got to go now.	Minun pitää lähteä nyt.
I haven't seen Tom lately.	En ole nähnyt Tomia viime aikoina.
I think Tom and Mary like each other.	Mä arvelen, että Tomi ja Mari tykkäävät toisistaan.
The cherry blossoms will come out earlier than usual.	Kirsikan kukat alkavat kukkia aikaisemmin kuin yleensä.
I lost the watch.	Kadotin kellon.
Tom has got it.	Se on Tomilla.
We intend to destroy it.	Aiomme tuhota sen.
I saw a man enter the room.	Näin miehen menevän huoneeseen.
Let's just stay calm.	Pysytään vain rauhallisina.
Luckily nobody got wet.	Onneksi kukaan ei kastunut.
Try to be patient with others.	Yritä olla kärsivällinen muiden kanssa.
It's raining again!	Taas sataa!
I used to work in Boston.	Työskentelin aikaisemmin Bostonissa.
This is our friend Tom.	Tämä on ystävämme Tom.
Why haven't you cooked dinner yet?	Miksi et ole vielä valmistanut illallista?
You have very sexy legs.	Sinulla on tosi seksikkäät sääret.
You shouldn't have run.	Sinun ei olisi pitänyt juosta.
Tom didn't have any reason not to believe Mary.	Tomilla ei ollut mitään syytä olla uskomatta Marya.
Tom fell into the river.	Tom putosi jokeen.
You've had a great idea.	Olet saanut hyvän ajatuksen.
You must make your parents happy.	Sinun täytyy tehdä vanhempasi onnellisiksi.
He has a good knowledge of French.	Hänellä on hyvät ranskan taidot.
I am online.	Olen linjoilla.
This is very interesting.	Tämä on hyvin kiinnostavaa.
Can you play tennis?	Osaatko pelata tennistä?
The boy fell from the bridge.	Poika putosi sillalta.
There's no one to look after her.	Ei ole ketään, joka huolehtisi hänestä.
We were all very moved.	Olemme kaikki hyvin liikuttuneita.
He has acted wisely.	Hän on toiminut viisaasti.
Tom nodded reluctantly.	Tom nyökkäsi vastentahtoisesti.
Tom gave up smoking.	Tom lopetti tupakanpolton.
I'll mention it to Tom.	Mainitsen sen Tomille.
He can't even float let alone swim.	Hän ei osaa edes kellua uimisesta puhumattakaan.
