Go.	Mene.
Give me the car keys.	Anna minulle auton avaimet.
Go ahead and ask Tom.	Mene ja kysy Tomilta.
Go ahead, try it now.	Anna mennä, kokeile sitä nyt.
Go back to your seat.	Mene takaisin paikallesi.
Go get your hair cut.	Mene leikkauttamaan tukkasi.
Go kiss someone else.	Mene suutelemaan jotakuta muuta.
Go to the barbershop.	Mene parturiin.
Guys are predictable.	Miehet ovat ennalta-arvattavia.
Hang in there, folks.	Koettakaa kestää, tyypit.
Has Tom already left?	Onko Tom jo lähtenyt?
Has anybody seen Tom?	Onko kukaan nähnyt Tomia?
Have a nice day, Tom.	Mukavaa päivänjatkoa, Tom.
Have you been abroad?	Oletko käynyt ulkomailla?
Have you finished it?	Oletko tehnyt sen loppuun?
Have you lost weight?	Oletko laihtunut?
Have you sold it yet?	Oletko jo myynyt sen?
He asked me to do it.	Hän pyysi minua tekemään sen.
He became a Catholic.	Hänestä tuli katolinen.
He begged me to stay.	Hän rukoili minua jäämään.
He breathed his last.	Hän veti henkeä viimeisen kerran.
He broke his promise.	Hän rikkoi lupauksensa.
He built a new house.	Hän rakensi uuden talon.
He came into my room.	Hän tuli minun huoneeseeni.
He did nothing wrong.	Hän ei tehnyt mitään väärää.
He didn't say a word.	Hän ei sanonut mitään.
He emptied his glass.	Hän tyhjensi lasinsa.
He felt a sharp pain.	Hän tunsi terävää kipua.
He filed a complaint.	Hän jätti valituksen.
He fired three shots.	Hän ampui kolme laukausta.
He found his parents.	Hän löysi vanhempansa.
He got off the train.	Hän laskeutui junasta.
He has a good memory.	Hänellä on hyvä muisti.
He has a hairy chest.	Hänellä on karvainen rintakehä.
He has already begun.	Hän on jo aloittanut.
He has no girlfriend.	Hänellä ei ole tyttöystävää.
He has poor eyesight.	Hänellä on huono näkö.
He is a Japanese boy.	Hän on japanilainen poika.
He is a good swimmer.	Hän on hyvä uimari.
He is a handsome man.	Hän on komea mies.
He is about to leave.	Hän on lähdössä.
He is about your age.	Hän on suunnilleen sinun ikäinen.
He is always with me.	Hän on aina kanssani.
He is good at soccer.	Hän pelaa hyvin jalkapalloa.
He is in the kitchen.	Hän on keittiössä.
He is making cookies.	Hän tekee pikkuleipiä.
He is my best friend.	Hän on paras ystäväni.
He is the chosen one.	Hän on valittu.
He isn't here, is he?	Ei kai hän ole täällä?
He likes Indian food.	Hän pitää intialaisesta ruoasta.
He likes music a lot.	Hän pitää paljon musiikista.
He lives like a king.	Hän elää kuin kuningas.
He looked very happy.	Hän näytti hyvin onnelliselta.
He married my cousin.	Hän nai serkkuni
He missed his flight.	Hän myöhästyi lennoltaan.
He mocked my efforts.	Hän pilkkasi vaivannäköäni.
He never looked back.	Hän ei koskaan kääntynyt katsomaan taakseen.
He never told anyone.	Hän ei koskaan kertonut kenellekään.
He ran at full speed.	Hän juoksi täyttä vauhtia.
He saw a pretty girl.	Hän näki nätin tytön.
He seems to be happy.	Hän vaikuttaa onnelliselta.
He told me the truth.	Hän kertoi minulle totuuden.
He took it literally.	Hän otti sen kirjaimellisesti.
He took off his coat.	Hän otti takin yltään.
He was an honest man.	Hän oli rehellinen mies.
He weighs 270 pounds.	Hän painaa 270 paunaa.
He went deer hunting.	Hän meni metsästämään peuroja.
He went duck hunting.	Hän lähti sorsastamaan.
He went to the store.	Hän meni kauppaan.
He will study French.	Hän aikoo opiskella ranskaa.
He's a fishing guide.	Hän on kalastusopas.
He's afraid to dance.	Häntä ujostuttaa tanssia.
He's crazy about you.	Hän on hulluna sinuun.
He's eating an apple.	Hän syö yhden omenan.
He's eight years old.	Hän on kahdeksanvuotias.
He's got lung cancer.	Hänellä on keuhkosyöpä.
He's in a rough spot.	Hän on vaikeassa paikassa.
He's in grave danger.	Hän on suuressa vaarassa.
He's in the hospital.	Hän on sairaalassa.
He's never satisfied.	Hän ei ole tyytyväinen koskaan.
He's taking a shower.	Hän on suihkussa.
He's up to something.	Hän aikoo jotakin.
Help him with French.	Auta häntä ranskassa.
Her face turned pale.	Hänen kasvonsa kalpenivat.
Her mind is at peace.	Hänen mielensä on rauhallinen.
Her son has her eyes.	Hänen pojallaan on hänen silmänsä.
Here comes the train.	Sieltä se juna tulee.
Here's some more tea.	Tässä on vähän lisää teetä.
Hey, what's going on?	Hei, mitä tapahtuu?
Hey, who wants pizza?	Hei, kuka haluaa pizzaa?
Hi everyone, I'm Tom.	Hei kaikki, olen Tomi.
His face turned pale.	Hänen kasvonsa kalpenivat.
His hands feel rough.	Hänen kätensä tuntuvat karkeilta.
His nose is bleeding.	Hänen nenästään vuotaa verta.
His real name is Tom.	Hänen oikea nimensä on Tomi.
His socks are purple.	Hänen sukkansa ovat violetit.
His teeth were white.	Hänen hampaansa olivat valkoiset.
How beautiful she is!	Kuinka kaunis hän onkaan!
How can I be of help?	Miten voin auttaa?
How did the party go?	Miten juhla sujui?
How did you find Tom?	Miten sinä löysit Tomin?
How did you meet Tom?	Miten tapasit Tomin?
How did your test go?	Miten koe meni?
How do you know this?	Kuinka tiedät tämän?
How do you like that?	Mitä tykkäät siitä?
How fast can you run?	Kuinka lujaa pystyt juoksemaan?
How many did you get?	Montako sait käsiisi?
How many do you need?	Kuinka monta sinä tarvitset?
How much did it cost?	Kuinka paljon tämä maksoi?
How much do you need?	Kuinka paljon sinä tarvitset?
How much is a ticket?	Paljonko lippu maksaa?
How much is this tie?	Paljonko tämä solmio maksaa?
How much is too much?	Kuinka paljon on liikaa?
How old is this tree?	Kuinka vanha tämä puu on?
How was Tom murdered?	Miten Tom tapettiin?
How was your weekend?	Miten viikonloppu meni?
How will you stop me?	Miten haluat pysäyttää minut?
How's your day going?	Miten sinun päiväsi sujuu?
I am a tennis player.	Olen tenniksen pelaaja.
I am counting on you.	Luotan sinuun.
I am eating an apple.	Syön omenan.
I am fond of reading.	Olen tykästynyt lukemiseen.
I am like my brother.	Olen veljeni kaltainen.
I am not well at all.	En voi yhtään hyvin.
I am terribly hungry.	Olen todella nälkäinen.
I am waiting my turn.	Odotan vuoroani.
I asked for a refund.	Pyysin hyvitystä.
I ate a cheeseburger.	Söin juustohampurilaisen.
I ate fish yesterday.	Eilen söin kalaa.
I ate too much today.	Söin liikaa tänään.
I began to get angry.	Aloin tulla vihaiseksi.
I borrowed Tom's car.	Lainasin Tomin autoa.
I bought a new dress.	Ostin uuden mekon.
I bought an old lamp.	Ostin vanhan lampun.
I bought an umbrella.	Ostin sateenvarjon.
I bought fresh bread.	Ostin tuoretta leipää.
I bought it from Tom.	Ostin sen Tomilta.
I broke a vase today.	Rikoin maljakon tänään.
I came here with Tom.	Tulin tänne Tomin kanssa.
I can do this myself.	Osaan tehdä tämän itse.
I can hardly see him.	Voin tuskin nähdä hänet.
I can help with that.	Minä voin auttaa sen kanssa.
I can wait no longer.	En voi odottaa kauempaa.
I can't afford a car.	Minulla ei ole varaa autoon.
I can't kiss you now.	En voi suudella sinua nyt.
I can't move my legs.	En pysty liikuttaa jalkojani.
I can't promise that.	En voi luvata sitä.
I can't speak French.	En osaa puhua ranskaa.
I cannot drive a bus.	En osaa ajaa bussia.
I cannot read French.	En osaa lukea ranskaa.
I couldn't care less.	Ei voisi vähempää kiinnostaa.
I couldn't stop them.	En voinut estää heitä.
I cut my hair myself.	Leikkaan hiukseni itse.
I cut myself shaving.	Viilsin itseäni ajaessani partaani.
I didn't believe you.	En uskonut sinua.
I didn't buy the car.	En ostanut sitä autoa.
I didn't have a clue.	Minulla ei ollut aavistustakaan.
I didn't kill anyone.	En surmannut ketään.
I didn't see a thing.	En nähnyt yhtään mitään.
I dislike big cities.	En pidä isoista kaupungeista.
I do want to open it.	Haluan todella avata sen.
I don't agree at all.	Olen täysin eri mieltä.
I don't believe this.	En usko tätä.
I don't discriminate.	En diskriminoi.
I don't feel like it.	Minua ei huvita.
I don't go to church.	En käy kirkossa.
I don't have a sword.	Minulla ei ole miekkaa.
I don't have all day.	Ei minulla ole koko päivää aikaa.
I don't know Russian.	Minä en osaa venäjää.
I don't know exactly.	En tiedä tarkalleen.
I don't like doctors.	En pidä lääkäreistä.
I don't like running.	En pidä juoksemisesta.
I don't like to lose.	Minä en tykkää hävitä.
I don't mind walking.	Kävely ei minua haittaa.
I don't speak French.	En puhu ranskaa.
I don't speak German.	En puhu saksaa.
I don't want to know.	En halua tietää.
I don't want to swim.	En tahdo uida.
I enjoy working here.	Mä tykkään työskennellä täällä.
I faxed a map to Tom.	Faksasin Tomille kartan.
I feel like an idiot.	Tunnen itseni idiootiksi.
I feel like vomiting.	Minua oksettaa.
I feel very betrayed.	Tunnen, että minua on todella petetty.
I feel very feverish.	Tuntuu että minulla on kova kuume.
I followed the rules.	Noudatin sääntöjä.
I forget who said it.	Unohdin kuka sen sanoi.
I forgot his address.	Unohdin hänen osoitteensa.
I forgot my password.	Unohdin salasanani.
I forgot to tell Tom.	Unohdin kertoa Tomille.
I found an apartment.	Löysin asunnon.
I got an A in French.	Sain kympin ranskasta.
I guess that'd be OK.	Luulen, että se olisi OK.
I had a busy morning.	Minulla oli kiireinen aamu.
I had a good teacher.	Minulla oli hyvä opettaja.
I had never seen her.	En ollut nähnyt häntä koskaan.
I hadn't heard of it.	En ollut kuullut siitä.
I hate Tom's parents.	Vihaan Tomin vanhempia.
I hate cops like him.	Minä vihaan tuollaisia poliiseja.
I hate jealous women.	Vihaan mustasukkaisia naisia.
I hate long speeches.	Vihaan pitkiä puheita.
I hate silent movies.	Vihaan mykkäelokuvia.
I have a credit card.	Minulla on luottokortti.
I have a debt to pay.	Minulla on velka maksettavana.
I have a green shirt.	Minulla on vihreä paita.
I have a new red car.	Minulla on uusi punainen auto.
I have a red bicycle.	Minulla on punainen polkupyörä.
I have a sharp knife.	Minulla on terävä veitsi.
I have a small fever.	Minulla on pientä kuumetta.
I have a sore throat.	Minulla on kurkku kipeä.
I have a wooden comb.	Minulla on puinen kampa.
I have back problems.	Minulla on selän kanssa ongelmia.
I have been to Paris.	Olen ollut Pariisissa.
I have crooked teeth.	Minulla on vinot hampaat.
I have dreadful news.	Minulla on kauheita uutisia.
I have got to go now.	Minun pitää lähteä nyt.
I have lots of ideas.	Minulla on paljon ideoita.
I have lots of money.	Minulla on paljon rahaa.
I have misjudged you.	Arvioin sinut väärin.
I have money for you.	Minulla on rahaa sinulle.
I have my hands full.	Minulla on kädet täynnä.
I have no use for it.	Minulla ei ole sille mitään käyttöä.
I have three cameras.	Minulla on kolme kameraa.
I have to prioritize.	Minun täytyy priorisoida.
I have to work today.	Minun täytyy tehdä töitä tänään.
I haven't shaved yet.	En ole vielä ajanut partaa.
I hope Tom sees this.	Toivon, että Tom näkee tämän.
I hope that's a joke.	Toivon, että tuo on vitsi.
I just had breakfast.	Söin juuri aamiaista.
I just talked to Tom.	Puhuin juuri Tomin kanssa.
I just took a shower.	Kävin juuri suihkussa.
I knew I'd be blamed.	Tiesin että minua syytettäisiin.
I know it's not easy.	Tiedän, että se ei ole helppoa.
I know sign language.	Minä osaan viittomakieltä.
I know the situation.	Tiedän tilanteen.
I know what to study.	Minä tiedän mitä opiskella.
I know what you mean.	Tiedän mitä tarkoitat.
I know you're afraid.	Tiedän, että pelkäät.
I left home at seven.	Lähdin kotoa seitsemältä.
I left the door open.	Jätin oven auki.
I lied to my parents.	Valehtelin vanhemmilleni.
I like her dark eyes.	Pidän hänen tummista silmistään.
I like her very much.	Pidän hänestä kovasti.
I like him very much.	Pidän hänestä kovasti.
I like reading books.	Pidän kirjojen lukemisesta.
I like to eat apples.	Syön mielelläni omenoita.
I like to win prizes.	Pidän palkintojen voittamisesta.
I live in Boston now.	Asun nyt Bostonissa.
I live with my uncle.	Asun setäni kanssa.
I look forward to it.	Minä odotan sitä innolla.
I lost consciousness.	Menetin tajuni.
I love French coffee.	Rakastan ranskalaista kahvia.
I love French movies.	Ranskalaiset elokuvat ovat minusta ihania.
I love to read books.	Rakastan kirjojen lukemista.
I made a big mistake.	Tein suuren virheen.
I made a paper plane.	Tein paperilennokin.
I mean no disrespect.	Ei millään pahalla.
I met Tom after work.	Tapasin Tomin töiden jälkeen.
I met with Tom again.	Tapasin Tomin kanssa uudestaan.
I might be home late.	Saatan tulla kotiin myöhään.
I must be going deaf.	Olen varmaankin tulossa kuuroksi.
I need more practice.	Tarvitsen lisää harjoitusta.
I need printer paper.	Tarvitsen tulostuspaperia.
I need time to think.	Tarvitsen harkinta-aikaa.
I need to buy stamps.	Minun pitää ostaa postimerkkejä.
I needed to know why.	Minun täytyi saada tietää miksi.
I never drink coffee.	En koskaan juo kahvia.
I never gave up hope.	En koskaan luopunut toivosta.
I never speak French.	Minä en puhu ranskaa koskaan.
I no longer like you.	En enää pidä sinusta.
I no longer love Tom.	En rakasta Tomia enää.
I no longer love you.	En enää rakasta sinua.
I paid $200 in taxes.	Maksoin kaksisataa dollaria veroja.
I prefer to go alone.	Menen mieluummin yksin.
I regret going there.	Kadun menneeni sinne.
I regret kissing Tom.	Kadun sitä, että suutelin Tomia.
I regret what I said.	Kadun sitä, mitä sanoin.
I remember this word.	Minä muistan tämän sanan.
I said don't do that.	Sanoin, älä tee sitä.
I saw a sleeping dog.	Näin nukkuvan koiran.
I started dating Tom.	Aloin seurustella Tomin kanssa.
I still remember Tom.	Muistan vielä Tomin.
I swallowed my pride.	Nielaisin ylpeyteni.
I take dance lessons.	Minä käyn tanssitunneilla.
I think I understand.	Minä luulen, että minä ymmärrän.
I think Tom hates me.	Luulen, että Tom vihaa minua.
I think Tom is drunk.	Luulen, että Tom on humalassa.
I think Tom is funny.	Minusta Tom on hauska.
I think Tom is happy.	Luulen, että Tom on onnellinen.
I think Tom is harsh.	Minusta Tom on karkea.
I think Tom is loyal.	Minusta Tom on uskollinen.
I think Tom is lucky.	Minusta Tom on onnekas.
I think Tom is moody.	Minusta Tom on ailahtelevainen.
I think Tom is naive.	Minusta Tom on naiivi.
I think Tom is nasty.	Minusta Tom on ilkeä.
I think Tom is obese.	Minusta Tom on ylipainoinen.
I think Tom is petty.	Minusta Tom on pikkumainen.
I think Tom is ready.	Luulen, että Tom on valmis.
I think Tom is smart.	Minusta Tom on fiksu.
I think Tom will win.	Luulen, että Tom voittaa.
I think Tom won't go.	Luulen ettei Tom mene.
I think it's obvious.	Minusta se on ilmiselvää.
I think this is mine.	Tämä lienee minun.
I think you're ready.	Luulen sinun olevan valmis.
I think you're right.	Luulen, että olet oikeassa.
I took the wrong bus.	Otin väärän bussin.
I underestimated you.	Aliarvioin sinut.
I used to live there.	Asuin ennen siellä.
I very much doubt it.	Minä epäilen sitä suuresti.
I waited a long time.	Odotin pitkään.
I want an MP3 player!	Haluan MP3-soittimen!
I want to go fishing.	Haluan mennä kalastamaan.
I want to go outside.	Haluan mennä ulos.
I want to marry Mary.	Haluan mennä naimisiin Marin kanssa.
I want to play chess.	Haluan pelata shakkia.
I want to see Boston.	Haluan nähdä Bostonin.
I want to take a nap.	Haluan ottaa nokoset.
I want you to behave.	Haluan sinun käyttäytyvän.
I wanted to save Tom.	Halusin pelastaa Tomin.
I wanted to stop Tom.	Halusin pysäyttää Tomin.
I wanted you so much.	Halusin sinua niin paljon.
I was a creative kid.	Olin luova lapsi.
I was born in Russia.	Synnyin Venäjällä.
I was born on a ship.	Synnyin laivassa.
I was deeply ashamed.	Olin kovasti häpeissäni.
I was hurt and upset.	Olin loukkaantunut ja poissa tolaltani.
I was in Canada then.	Olin silloin Kanadassa.
I was jealous of her.	Olin mustasukkainen hänestä.
I was kidding before.	Minä vain vitsailin aikaisemmin.
I was late to school.	Tulin myöhässä kouluun.
I was looking at her.	Katsoin häntä.
I was reading a book.	Olin lukemassa kirjaa.
I was really unlucky.	Minulla kävi huono tuuri.
I was so embarrassed.	Minua hävetti niin paljon.
I was the only woman.	Olin ainoa nainen.
I was there recently.	Olin siellä hiljattain.
I was trying my best.	Yritin parastani.
I washed the windows.	Pesin ikkunat.
I went to the bakery.	Menin leipomoon.
I will accompany you.	Tulen kanssasi.
I will be right back!	Tulen pian takaisin.
I will vouch for him.	Minä takaan hänet.
I wish I were taller.	Olisinpa pidempi.
I wish Tom were dead.	Toivon, että Tom olisi kuollut.
I wish that was true.	Olisipa se totta.
I wish you happiness.	Toivon sinulle onnea.
I wish you were dead.	Olisitpa kuollut!
I wish you were here.	Olisitpa täällä.
I woke up at sunrise.	Heräsin aamunkoitteessa.
I won't be here long.	En viivy pitkään.
I won't say it again.	En sano sitä uudestaan.
I won't try to do it.	En yritä tehdä sitä.
I wouldn't bet on it.	En löisi siitä vetoa.
I wouldn't blame Tom.	En syyttäisi Tomia.
I wouldn't blame you.	En syyttäisi sinua.
I'd be very grateful.	Olisin todella kiitollinen.
I'd like to check in.	Haluaisin kirjautua sisään.
I'd like to kiss you.	Haluaisin suudella sinua.
I'd like to watch TV.	Haluan katsoa televisiota.
I'd love to meet Tom.	Minusta olisi ihanaa tavata Tom.
I'll admit I'm wrong.	Myönnän, että olen väärässä.
I'll always love Tom.	Minä tulen rakastamaan Tomia aina.
I'll be back at 2:30.	Palaan takaisin kello 2:30.
I'll be back shortly.	Palaan pian.
I'll be very careful.	Olen todella varovainen.
I'll be watching you.	Pidän sinua silmällä.
I'll bring it to you.	Minä tuon sen sinulle.
I'll call my husband.	Soitan miehelleni.
I'll come right away.	Tulen heti.
I'll get another job.	Saan toisen työpaikan.
I'll get back to you.	Otan sinuun yhteyttä.
I'll give you a lift.	Annan sinulle kyydin.
I'll keep my promise.	Pidän lupaukseni.
I'll leave you alone.	Jätän sinut rauhaan.
I'll never forget it.	En unohda sitä koskaan.
I'll never surrender.	En antaudu koskaan.
I'll paint the house.	Maalaan talon.
I'll phone you later.	Soitan sinulle myöhemmin.
I'll take a cab home.	Menen taksilla kotiin.
I'll take care of it.	Minä hoidan sen.
I'm a French citizen.	Olen Ranskan kansalainen.
I'm a French teacher.	Olen ranskanopettaja.
I'm a cocaine addict.	Olen kokaiiniriippuvainen.
I'm a complete idiot.	Olen täydellinen idiootti.
I'm a morning person.	Olen aamuihminen.
I'm a natural blonde.	Minulla on luonnonvaaleat hiukset.
I'm afraid he is ill.	Pelkään pahoin, että hän on sairas.
I'm allergic to corn.	Olen allerginen maissille.
I'm allergic to dogs.	Olen allerginen koirille.
I'm better off alone.	Pärjään paremmin yksinäni.
I'm busy on Saturday.	Minulla on menoa lauantaina.
I'm depending on you.	Luotan sinuun.
I'm dreadfully sorry.	Olen kauhean pahoillani.
I'm getting confused.	Minä alan mennä sekaisin.
I'm glad I was there.	Olen iloinen, että olin siellä.
I'm glad it's not me.	Olen iloinen etten se ole minä.
I'm going for a walk.	Käyn kävelyllä.
I'm happy these days.	Nykyisin olen onnellinen.
I'm happy to see you.	Olen onnellinen tapaamisestamme.
I'm happy where I am.	Olen tyytyväinen tässä missä olen.
I'm heading downtown.	Minä menen keskustaan.
I'm here to kill you.	Tulin tappamaan sinut.
I'm here to save you.	Tulin pelastamaan sinut.
I'm in love with her.	Rakastan häntä.
I'm just making sure.	Minä vain varmistan.
I'm leaving the city.	Olen lähdössä kaupungista.
I'm living in Boston.	Asun Bostonissa.
I'm not a bad person.	Minä en ole huono ihminen.
I'm not a politician.	En ole poliitikko.
I'm not a tattletale.	En ole kantelija.
I'm not a vegetarian.	En ole kasvissyöjä.
I'm not at all tired.	En ole lainkaan väsynyt.
I'm not conservative.	En ole konservatiivinen.
I'm not disorganized.	En ole epäjärjestelmällinen.
I'm not feeling well.	Minulla on huono olo.
I'm not getting this.	En tajua tätä.
I'm not good at math.	Mä en oo hyvä matikassa.
I'm not good-looking.	En ole hyvännäköinen.
I'm not quitting now.	En aio lopettaa nyt.
I'm not very patient.	En ole kovin kärsivällinen.
I'm not wearing that.	Minä en tuota päälleni pane.
I'm really busy, Tom.	Minulla on todella kova kiire, Tom.
I'm right behind you.	Olen aivan takanasi.
I'm shorter than him.	Olen häntä lyhyempi.
I'm tired of writing.	Olen väsynyt kirjoittamaan.
I'm too young to die.	Olen liian nuori kuolemaan.
I'm totally over Tom.	Olen päässyt täysin yli Tomista.
I'm used to the dark.	Olen tottunut pimeyteen.
I'm very, very angry.	Olen hyvin, hyvin vihainen.
I'm writing a letter.	Kirjoitan kirjettä.
I'm your biggest fan.	Olen suurin fanisi.
I've been subpoenaed.	Minut on haastettu oikeuteen.
I've been there once.	Olen ollut siellä kerran.
I've changed my mind.	Olen muuttanut mieltäni.
I've dreamed of this.	Olen unelmoinut tästä.
I've fully recovered.	Olen toipunut täysin.
I've got a pacemaker.	Minulla on sydämentahdistin.
I've got goose bumps.	Olen kananlihalla.
I've got it now, Tom.	Nyt ymmärrän sen, Tomi.
I've got to help Tom.	Minun täytyy auttaa Tomia.
I've got to warn Tom.	Minun täytyy varoittaa Tomia.
I've heard the rumor.	Olen kuullut sen huhun.
I've locked the door.	Olen lukinnut oven.
I've never liked Tom.	En ole koskaan pitänyt Tomista.
I've read the report.	Olen lukenut raportin.
Incredible, isn't it?	Uskomatonta, eikö vaan?
Is Tom a good kisser?	Onko Tom hyvä suutelija?
Is Tom about to sing?	Onko Tom aikeissa alkaa laulaa?
Is Tom an eyewitness?	Onko Tom silminnäkijä?
Is Tom still married?	Onko Tomi yhä naimisissa?
Is Tom still working?	Onko Tom vieläkin töissä?
Is his pulse regular?	Onko hänen pulssinsa säännöllinen?
Is it still for sale?	Onko se vielä alennuksessa?
Is that satisfactory?	Onko se tyydyttävä?
Is that unreasonable?	Onko se kohtuutonta?
Is that your ex-wife?	Onko tuo entinen vaimosi?
Is the phone ringing?	Soiko puhelin?
Is this a compliment?	Onko tämä kohteliaisuus?
Is this all for real?	Onko tämä kaikki todellista?
Is this all there is?	Onko tässä kaikki mitä on?
Is this diamond real?	Onko tämä aito timantti?
Is this your baggage?	Ovatko nämä sinun matkatavarasi?
Is this your bicycle?	Onko tämä polkupyöräsi?
Is this your opinion?	Onko tämä sinun mielipiteesi?
Is this your picture?	Onko tämä sinun kuvasi?
Isn't that wonderful?	Eikö se olekin ihanaa?
It doesn't seem real.	Se ei vaikuta todelliselta.
It is already eleven.	Kello on jo yksitoista.
It is in the kitchen.	Hän on keittiössä.
It is kind of pretty.	Se on aika sievä.
It is very hot today.	Tänään on todella kuuma.
It looks really good.	Se näyttää todella hyvältä.
It meant a lot to me.	Se merkitsi minulle paljon.
It tasted good to me.	Minulle se maistui.
It took half an hour.	Siihen meni puoli tuntia.
It was a great night.	Se oli suuri ilta.
It was a stupid idea.	Se oli typerä idea.
It was a stupid joke.	Se oli typerä pila.
It was all a big lie.	Se oli kaikki yhtä isoa valetta.
It was an experiment.	Se oli kokeilu.
It was his own fault.	Se oli hänen oma vikansa.
It was time to leave.	Oli aika lähteä.
It'll cost me my job.	Se maksaa minulle työpaikkani.
It'll work next time.	Ensi kerralla onnistaa.
It's a beautiful day.	On kaunis päivä.
It's a piece of cake.	Se on helppo nakki.
It's a scalp disease.	Se on päänahan sairaus.
It's a small problem.	Se on pieni ongelma.
It's a waste of time.	Se on ajanhukkaa.
It's all Greek to me.	Se on täyttä hepreaa.
It's all Tom's fault.	Kaikki on Tomin vikaa.
It's all in the room.	Se on kaikki huoneessa.
It's all over for us.	Kaikki on ohi väliltämme.
It's all right there.	Se on kaikki juuri siinä.
It's been a long war.	Sota on ollut pitkä.
It's completely dark.	On täysin pimeää.
It's half past eight.	Kello on puoli yhdeksän.
It's just not enough.	Se ei vain ole tarpeeksi.
It's my CD, isn't it?	Se on minun CDni, eikö olekin?
It's not a good idea.	Se ei ole hyvä ajatus.
It's not fair at all.	Se ei ole yhtään reilua.
It's obviously a lie.	Ilmiselvä valhe.
It's part of the job.	Se on osa työstä.
It's partly my fault.	Se on osittain minun syyni.
It's perfectly legal.	Se on täysin laillista.
It's perfectly white.	Se on puhtaan valkoinen.
It's really annoying.	Se on todella ärsyttävää.
It's snowing outside.	Ulkona sataa lunta.
It's sort of strange.	Sepä on vähän kummallista.
It's time to move on.	On aika jatkaa elämää.
It's time to wake up.	On aika herätä.
It's under the chair.	Se on tuolin alla.
It's very cold today.	Tänään on tosi kylmä.
It's very quiet here.	Täällä on hyvin hiljaista.
It's worth trying it.	Se on kokeilun arvoista.
Italy is a peninsula.	Italia on niemimaa.
It’s just midnight.	On vasta keskiyö.
Keep the door closed.	Pidä ovi suljettuna.
Let him have his say.	Kertokoon mielipiteensä.
Let me get my violin.	Anna kun haen viuluni.
Let's eat some pasta.	Syödään pastaa
Let's get Tom to bed.	Pannaan Tom nukkumaan.
Let's go for a drink.	Mennään lasilliselle.
Let's head back home.	Palataan kotiin.
Let's just stay calm.	Pysytään vain rauhallisina.
Let's move the table.	Siirretään pöytä.
Let's relax a little.	Rentoudutaan vähän.
Lies beget more lies.	Valheet synnyttävät lisää valheita.
Life's a funny thing.	Elämä on hassu juttu.
Look at that picture.	Katso tuota kuvaa.
Look at this picture.	Katso tätä kuvaa.
Look before you leap.	Katso ennen kuin hyppäät.
Love can't be bought.	Rakkautta ei voi ostaa.
Love is all you need.	Rakkaus on kaikki mitä tarvitset.
Love knows no limits.	Rakkaus ei tunne rajoja.
Love me, love my dog.	Rakasta minua, rakasta koiraani.
Mary is Tom's sister.	Mari on Tomin sisko.
Mary is a single mom.	Mari on yksinhuoltaja.
Mary needs new shoes.	Mari tarvitsee uudet kengät.
May I ask a question?	Saanko kysyä kysymyksen?
May I eat this apple?	Saanko syödä tämän omenan?
May I have your name?	Saisinko nimenne?
May I hold your hand?	Voinko ottaa sinua kädestä kiinni?
May I take your coat?	Voinko ottaa takkinne?
May I use the toilet?	Voinko käyttää vessaa?
Michael Jackson died.	Michael Jackson kuoli.
My French is limited.	Ranskantaitoni ovat rajalliset.
My brother is stupid.	Veljeni on tyhmä.
My clock has stopped.	Kelloni on pysähtynyt.
My father's a doctor.	Minun isäni on lääkäri.
My house burned down.	Taloni paloi maan tasalle.
My house is far away.	Taloni on kaukana.
My house was on fire.	Taloni oli tulessa.
My life is so boring.	Minun elämäni on niin tylsää.
My mother cooks well.	Äitini osaa laittaa hyvin ruokaa.
My socks aren't here.	Sukkani eivät ole täällä.
My suitcase got lost.	Matkalaukkuni katosi.
My suitcase was lost.	Matkalaukkuni hävisi.
My whole body itches.	Koko vartaloani kutittaa.
No news is good news.	On hyvä merkki, jos heistä ei kuulu mitään.
No one has a problem.	Kenelläkään ei ole ongelmaa.
No one has voted yet.	Kukaan ei ole vielä äänestänyt.
No one was surprised.	Kukaan ei yllättynyt.
No one will find out.	Ei kukaan saa tietää.
No one will hurt you.	Kukaan ei tee sinulle pahaa.
No one will obey you.	Kukaan ei tottele sinua.
Nobody else can know.	Kukaan muu ei voi tietää.
Nobody will help you.	Kukaan ei auta sinua.
Nobody will hurt you.	Kukaan ei satuta sinua.
Nobody's that stupid.	Kukaan ei ole niin tyhmä.
Nobody's volunteered.	Kukaan ei ole tarjoutunut vapaaehtoiseksi.
Not a shot was fired.	Laukaustakaan ei ammuttu.
Nothing is permanent.	Mikään ei ole pysyvää.
Now we'll never know.	Nyt emme koskaan saa tietää.
Now we're in trouble.	Nyt me olemme pulassa.
Now you've ruined it.	No nyt olet pilannut sen.
One of them is lying.	Jompikumpi valehtelee.
Our fridge is broken.	Jääkaappimme on rikki.
Panicking won't help.	Panikointi ei auta.
People say I'm crazy.	Minua sanotaan hulluksi.
Please bring a salad.	Toisitko salaatin, kiitos.
Please do not buy it.	Älä vain osta sitä.
Please don't hurt me.	Älä satuta minua.
Please eat some cake.	Ole hyvä ja ota kakkua.
Please help yourself.	Ole hyvä ja ota vapaasti syötävää.
Please make your bed.	Ole kiltti ja sijaa vuoteesi.
Please open the door.	Avaisitko oven.
Please open your bag.	Voisitko avata laukkusi?
Please set the table.	Voisitko kattaa pöydän?
Please stay close by.	Pysy lähettyvillä.
Please wait a minute.	Hetkinen.
Please wait a moment.	Hetkinen.
